record_id,source_file,title,authors,year,journal,doi,final_include,resolution,audit_a_include,audit_b_include,metric_status,core_goal_status,artifact_status,exclusion_trigger_codes,final_reason_cn,confidence,fulltext_chars
3854,03854_2020_a-two-stage-machine-learning-framework-to-predict-heart-transplantation-survival-probabilities-o.md,A two-stage machine learning framework to predict heart transplantation survival probabilities over time with a monotonic probability constraint,Hamidreza Ahady Dolatsara; Ying-Ju Chen; Christy Evans; Ashish Gupta; Fadel M. Megahed,2020,Decision Support Systems,10.1016/j.dss.2020.113363,False,adjudicated_exclude,True,False,objective_fixed_factual_labels,objective_metric_secondary,implemented_software_artifact,OBJECTIVE_METRIC_NOT_CORE,文章使用UNOS登记中的实际生存/死亡事实标签计算AUC、G-Mean等客观指标，并且实际创建并部署了H-TOP Web应用，因此指标客观性和软件制品实例化条件均满足。然而，文章的核心目标和贡献是提出一个通用两阶段机器学习框架，利用等张回归保证多期生存概率曲线随时间单调；AUC、G-Mean等预测性能提升仅为展示框架效用的次要验证结果，且在局限部分明确表示未试图优化预测性能。按照“客观结果仅为次要评价，或文章核心是解释理论/方法而非指标提升”的排除条款，本记录不应纳入。,0.85,80820
4736,04736_2020_bayesian-neural-networks-for-flight-trajectory-prediction-and-safety-assessment.md,Bayesian neural networks for flight trajectory prediction and safety assessment,Xiaoge Zhang; Sankaran Mahadevan,2020,Decision Support Systems,10.1016/j.dss.2020.113246,False,independent_agreement_exclude,False,False,fully_objective_direct,objective_improvement_primary,algorithm_or_model_only,ALGORITHM_MODEL_ONLY | NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION,该文完全客观的核心指标是轨迹预测误差和分离距离预测误差，且提升预测精度/安全评估是文章的核心目标，因此客观指标门槛通过。但全文交付物是贝叶斯 DNN/LSTM 预测模型、集成算法和数学安全指标；没有说明这些模型被嵌入或运行在某一个明确的可运行软件制品（如决策支持系统、检测系统、可视化系统）中。Apache Spark 程序仅用于数据预处理，未来才计划开发可视化系统。按算法/模型边界规则，属于单纯的飞行轨迹预测模型，不满足软件制品三项门槛，严格排除。,0.92,105682
6738,06738_2020_ingredients-for-successful-badges-evidence-from-a-field-experiment-in-bike-commuting.md,Ingredients for successful badges: evidence from a field experiment in bike commuting,Zachary J. Sheffler; De Liu; Shawn P. Curley,2020,European Journal of Information Systems,10.1080/0960085x.2020.1808539,False,independent_agreement_exclude,False,False,fully_objective_direct,objective_improvement_primary,platform_only_context,NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION,该文的核心目标和结果指标是完全客观的骑行天数，且指标由RFID技术自动记录，因此通过指标和核心目标门槛。然而，文章没有明确说明所设计/构建的软件制品类别：虽然研究者重新设计了新闻邮件和仪表盘，但这些只是既有大学自行车通勤项目中的显示界面内容，不是可运行的独立软件制品或实质改造的信息系统组件；没有证据表明作者设计或构建了软件系统、平台或模块，也没有展示该软件制品被实际实例化或运行并产生结果。文章本质上是在现有真实信息系统环境中实施的徽章设计因素随机实验，而非以构建软件制品为贡献的设计科学研究。因此不满足软件制品三项门槛。,0.88,70245
7274,07274_2020_antisocial-online-behavior-detection-using-deep-learning.md,Antisocial online behavior detection using deep learning,Elizaveta Zinovyeva; Wolfgang Karl Härdle; Stefan Lessmann,2020,Decision Support Systems,10.1016/j.dss.2020.113362,False,independent_agreement_exclude,False,False,subjective_construct_with_fixed_labels,unclear,algorithm_or_model_only,SUBJECTIVE_CONSTRUCT | HUMAN_SEMANTIC_JUDGMENT | ALGORITHM_MODEL_ONLY | NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION,指标方面，文章评估的是‘恶意/反社会/有毒内容’检测的分类性能，标签来自人类标注者的语义判断，属于主观构念，不满足完全客观或固定事实标签标准。核心目标方面，文章是基准与算法比较研究，目标是提高检测准确性，但该准确率针对主观标签，且未以提升某个客观业务结果为核心贡献；虽然检测准确性是主要目标，但不存在合格的客观指标。软件制品方面，只实现了多种 DL 模型（含新提出的 psHAN）并在数据集上实验，没有明确构建/修改并运行任何软件制品或检测系统组件；系统只是概念性讨论。因此七道门槛均不满足，严格排除。,0.95,60954
7654,07654_2024_automated-analysis-of-changes-in-privacy-policies-a-structured-self-attentive-sentence-embedding.md,Automated Analysis of Changes in Privacy Policies: a Structured Self-Attentive Sentence Embedding Approach,Fangyu Lin; Sagar Samtani; Hongyi Zhu; Laura Brandimarte; Hsinchun Chen,2024,MIS Quarterly,10.25300/misq/2024/17115,False,adjudicated_exclude,True,False,human_semantic_judgment,objective_improvement_primary,algorithm_or_model_only,HUMAN_SEMANTIC_JUDGMENT | ALGORITHM_MODEL_ONLY,文章的核心目标是改进隐私政策数据实践段落的自动多标签标注性能，评价指标为F1、precision、recall和hamming loss。但这些标签来自法学学生对政策文本的语义解读，不是独立于人类主观判断的外部可核验事实；即使标签固定后计算F1，仍属于主观语义判断构念。同时，SAAS虽然以'system'为名并被实现和运行，但其实质是一个PyTorch实现的深度学习模型/算法，没有用户界面、API或生产部署，属于算法/离线模型而非可纳入的软件制品。因此三个必要条件均不满足，应排除。,0.87,159312
8316,08316_2021_a-deep-learning-approach-for-recognizing-activity-of-daily-living-adl-for-senior-care-exploiting.md,A Deep Learning Approach for Recognizing Activity of Daily Living (ADL) for Senior Care: Exploiting Interaction Dependency and Temporal Patterns,Hongyi Zhu; Sagar Samtani; Randall A. Brown; Hsinchun Chen,2021,MIS Quarterly,10.25300/misq/2021/15574,False,independent_agreement_exclude,False,False,objective_fixed_factual_labels,objective_improvement_primary,algorithm_or_model_only,NO_EXPLICIT_ARTIFACT_CLASS | ALGORITHM_MODEL_ONLY | NO_OPERATIONAL_INSTANTIATION,该文的核心结果指标（F1、Accuracy、ABLD、Acc@1/2）是完全客观的，且提升这些指标确实是文章的核心设计目标；但它被构建和评价的是深度学习方法/模型框架，而不是明确类别、可运行的软件制品，也没有实质修改或部署某个信息系统/平台/工具。按照算法/模型边界，仅在数据集上实现和运行 I-CNN、启发式手势识别、S2S_GRU，属于算法或模型层面的贡献，不满足软件制品相关三个门槛，因此严格排除。,0.92,148955
8476,08476_2020_novice-digital-service-designers-decision-making-with-decision-aids-a-comparison-of-taxonomy-and.md,Novice digital service designers' decision-making with decision aids — A comparison of taxonomy and tags,Xuanhui Liu; Karl Werder; Alexander Maedche,2020,Decision Support Systems,10.1016/j.dss.2020.113367,False,independent_agreement_exclude,False,False,mixed_objective_subjective,theory_or_explanation_primary,platform_only_context,THEORY_OR_EXPLANATION_PRIMARY | MIXED_CORE_OUTCOMES | NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | PLATFORM_CONTEXT_ONLY,文章确实使用了客观的选择准确率作为核心因变量，且该指标按预定义答案计数，不依赖用户主观评价；但文章的核心目标是检验认知适配理论、决策辅助与决策风格之间的关系，属于理论解释型研究，而非以提升客观指标为最终工程贡献。同时，认知努力是研究模型中的核心中介/结果变量，却使用Likert主观自报量表测量，因此核心成功结果中混合了主观构念。制品方面，实验仅将taxonomy/tags/list作为内容嵌入LimeSurvey平台，没有明确设计或实质修改一个信息系统/软件组件，也没有将其作为被评价的软件制品实例化。综上，七个门槛不能全部通过。,0.9,86714
8796,08796_2025_ruckus-in-the-rentals-seeking-new-arrangements-remedying-the-impact-of-home-sharing-on-urban-noi.md,"Ruckus in the Rentals, Seeking New Arrangements: Remedying the Impact of Home-Sharing on Urban Noise",Yi Ding; Moksh Matta; Ram Gopal; Haifeng Xu,2025,MIS Quarterly,10.25300/misq/2024/18049,False,independent_agreement_exclude,False,False,mixed_objective_subjective,theory_or_explanation_primary,algorithm_or_model_only,SUBJECTIVE_CONSTRUCT | MIXED_CORE_OUTCOMES | OBJECTIVE_METRIC_NOT_CORE | NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION | ALGORITHM_MODEL_ONLY | SIMULATION_ONLY,文章核心是实证研究平台使用对城市噪声的影响，并基于模拟提出nudging algorithm。虽然噪声投诉和收入是客观结果，但核心目标还包括满足用户偏好，且算法仅在离线仿真中验证，未实际构建、修改或运行软件制品。因此不满足客观指标核心目标与软件制品实例化门槛。,0.97,103291
9076,09076_2020_the-effect-of-intention-analysis-based-fraud-detection-systems-in-repeated-supply-chain-quality.md,The effect of intention analysis-based fraud detection systems in repeated supply Chain quality inspection: A context of learning and contract,Jiaqi Yan; Xin Li; Yani Shi; Sherry Sun; Huaiqing Wang,2020,Information & Management,10.1016/j.im.2019.103177,False,independent_agreement_exclude,False,False,fully_objective_direct,theory_or_explanation_primary,implemented_software_artifact,THEORY_OR_EXPLANATION_PRIMARY,三项核心结果指标（决策时间、检查成本、拒绝正确性）均为完全客观且可直接观测，且IAFDS作为实际实现的DSS在实验中运行。然而，文章的核心目标不是通过设计、构建或实质修改软件制品来提升客观指标，而是以重复质检博弈为情境，实证检验IAFDS对买家决策绩效的影响，并基于绩效改进理论解释学习效应和合同类型的调节作用。贡献声明和讨论均以理论解释、行为理解和系统影响为主，而非以客观指标改进为最终核心贡献，因此不满足核心目标门槛。,0.93,105047
9276,09276_2020_an-intelligent-decision-support-system-prototype-for-hinterland-port-logistics.md,An intelligent decision support system prototype for hinterland port logistics,Elnaz Irannezhad; Carlo G. Prato; Mark Hickman,2020,Decision Support Systems,10.1016/j.dss.2019.113227,False,independent_agreement_exclude,False,False,fully_objective_direct,objective_improvement_primary,algorithm_or_model_only,ALGORITHM_MODEL_ONLY | SIMULATION_ONLY | NO_OPERATIONAL_INSTANTIATION | NO_MATERIAL_ARTIFACT_CHANGE,本文的核心目标是通过仿真量化智能DSS/PCS对腹地集装箱运输成本、距离、时间和车辆利用率的影响，这些指标可客观计算且是主要结果，因此指标和核心目标两关通过。然而，文章实际实现并运行的只是一个多智能体仿真模型与RL/DCVRPTW优化算法，并非一个真正被实例化或运行的信息系统、平台或DSS软件制品；文中“envisaged”的软件架构说明其DSS/PCS仍处于概念和仿真阶段。按照严格口径，这属于算法/模型或仿真方法，不满足软件制品条件。,0.86,70591
10860,10860_2020_optimizing-microtask-assignment-on-crowdsourcing-platforms-using-markov-chain-monte-carlo.md,Optimizing microtask assignment on crowdsourcing platforms using Markov chain Monte Carlo,Alireza Moayedikia; Hadi Ghaderi; William Yeoh,2020,Decision Support Systems,10.1016/j.dss.2020.113404,False,independent_agreement_exclude,False,False,objective_fixed_factual_labels,objective_improvement_primary,algorithm_or_model_only,NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION | ALGORITHM_MODEL_ONLY,该文以 AUC 和 F-Score 等客观分类性能指标为核心评价，这些指标若基于事实标签可视为客观，且文章核心目标确实是提升任务分配算法的客观性能。然而，文中提出的 MCMC-TA 是一个任务分配算法，仅在数据集上进行离线模拟比较，没有明确软件制品类别，没有设计或修改任何具体系统组件，也没有在真实或可运行的软件制品中实例化。因此不满足“软件制品”这一必要条件，应排除。,0.96,59062
10970,10970_2022_discovering-emerging-threats-in-the-hacker-community-a-nonparametric-emerging-topic-detection-fr.md,Discovering Emerging Threats in the Hacker Community: A Nonparametric Emerging Topic Detection Framework,Weifeng Li; Hsinchun Chen,2022,MIS Quarterly,10.25300/misq/2022/15642,False,independent_agreement_exclude,False,False,objective_fixed_factual_labels,objective_improvement_primary,algorithm_or_model_only,NO_EXPLICIT_ARTIFACT_CLASS | NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION | ALGORITHM_MODEL_ONLY,该文提出了一个基于非参数主题模型（conditional HDP）和 Bayes factor 检测的新兴主题检测方法 NPETD，并将 precision、recall、F-measure、topic coherence、处理器时间作为核心成功指标；这些指标中，检测指标基于预定义的事实类别标签，计算和性能指标均客观可核验，核心目标也是通过方法设计提升这些客观指标。然而，在软件制品门槛上证据不足：全文将贡献对象描述为 framework、topic model、inference algorithm 和 emergence detection mechanism，没有明确声明或描述一个可运行的信息系统、应用、平台、插件或软件工具；离线数据集上的实验和对 Altenens 论坛的回顾性应用属于算法评估和语料分析，而不是被实际实例化的软件制品或其组件。因此 strict_include 为 false。,0.87,71869
11292,11292_2024_timely-granular-and-actionable-designing-a-social-listening-platform-for-public-health-3-0.md,"Timely, Granular, and Actionable: Designing a Social Listening Platform for Public Health 3.0",Brent Kitchens; Jennifer L. Claggett; Ahmed Abbasi,2024,MIS Quarterly,10.25300/misq/2023/17381,False,independent_agreement_exclude,False,False,human_semantic_judgment,objective_metric_secondary,implemented_software_artifact,SUBJECTIVE_CONSTRUCT | HUMAN_SEMANTIC_JUDGMENT,HealthSense 是明确被实现并运行的社会倾听平台，包含 RAM/CAM/LAM 模块，并在 3700 万 URL 测试床和 PharmCo 现场实验中被实例化，因此满足软件制品门槛。但其核心成功指标是围绕任务相关性、情感极性以及药物安全病例真/假阳性的人工标注/专家共识计算的 recall/precision/F1/AUC；这些标签依赖人的语义理解和专业判断，不属于可脱离人的价值判断而成立的外部事实类别。因此客观构念、确定性测量和核心目标中的“客观改进”门槛均不满足，strict_include=false。,0.95,152292
11474,11474_2022_designing-attentive-information-dashboards.md,Designing Attentive Information Dashboards,Peyman Toreini; Moritz Langner; Alexander Maedche; Stefan Morana; Tobias Vogel,2022,Journal of the Association for Information Systems,10.17705/1jais.00732,False,independent_agreement_exclude,False,False,subjective_or_self_report,objective_improvement_primary,implemented_software_artifact,SUBJECTIVE_CONSTRUCT,文章是充分的 DSR 设计科学项目，具备明确软件制品类别（注意力信息仪表盘/BI 仪表盘系统），具体设计了实时眼动追踪、注意力感知、个性化 VAF 反馈组件，并在实验室中以 Tobii 设备实际实例化运行，且核心目标确实是通过该软件改良提升眼动指标。但关键排除点在指标构念：三个主要成功指标——attentional resource allocation、attention shift rate、attentional resource management——都是从眼动信号推断出的用户内部注意力状态/资源管理能力。这些构念不是可由外部事实核验的操作性事实标签；其定义高度依赖理论假设和研究者判定（如怎样才算'properly distribute attention'、'better allocation'），本质上是人类心理构念。即使测量值来自眼动硬件，满足不了'测量不依赖人的主观感知、评分、偏好或语义判断'。因此 strict_include 为 false。,0.95,136118
12160,12160_2020_improving-healthcare-access-management-by-predicting-patient-no-show-behaviour.md,Improving healthcare access management by predicting patient no-show behaviour,David Barrera Ferro; Sally Brailsford; Cristián Bravo; Honora Smith,2020,Decision Support Systems,10.1016/j.dss.2020.113398,False,independent_agreement_exclude,False,False,objective_fixed_factual_labels,objective_improvement_primary,algorithm_or_model_only,NO_MATERIAL_ARTIFACT_CHANGE | NO_OPERATIONAL_INSTANTIATION | ALGORITHM_MODEL_ONLY,客观指标 gate 基本通过：文章在真实 show/no-show 事件标签上以 AUROC、coverage/risk 评价预测性能，构念和测量均客观，且提升预测精度是核心目标之一。但软件制品 gate 不通过：文章没有实现或实例化一个可运行的 DSS，实际产物是离线训练的 ML 预测模型和实验代码；作者明确把 web-based tool 留到 pilot 评估后再开发。因此 strict_include=false。,0.9,83592
13152,13152_2021_assessing-the-unacquainted-inferred-reviewer-personality-and-review-helpfulness.md,Assessing the Unacquainted: Inferred Reviewer Personality and Review Helpfulness,Angela Xia Liu; Yilin Li; Sean Xin Xu,2021,MIS Quarterly,10.25300/misq/2021/14375,False,independent_agreement_exclude,False,False,human_semantic_judgment,theory_or_explanation_primary,algorithm_or_model_only,SUBJECTIVE_CONSTRUCT | HUMAN_SEMANTIC_JUDGMENT | ALGORITHM_MODEL_ONLY,本文核心成功指标是“评论帮助性”，该构念本质上是读者对评论有用性的主观判断，依赖人类感知和价值评价，不属于完全客观可测量指标。文章的主要目标是检验人格与帮助性的理论关系并训练离线预测模型，没有将模型作为软件制品设计、构建或实例化运行。因此三个必要条件均不满足。,0.97,153949
13398,13398_2025_automating-in-high-expertise-low-label-environments-evidence-based-medicine-by-expert-augmented.md,"Automating in High-Expertise, Low-Label Environments: Evidence-Based Medicine by Expert-Augmented Few-Shot Learning",Rong Liu; Jingjing Li; Marko Zivkovic; Ahmed Abbasi,2025,MIS Quarterly,10.25300/misq/2024/18573,False,independent_agreement_exclude,False,False,objective_fixed_factual_labels,objective_improvement_primary,algorithm_or_model_only,NO_EXPLICIT_ARTIFACT_CLASS | ALGORITHM_MODEL_ONLY,虽然核心指标（F1、PRC、时间节省）客观且为文章核心目标，但FastSR本质上是一个机器学习模型/算法框架，没有被明确为信息系统、应用程序、检测系统等软件制品；文章没有描述对某个软件组件的实质修改或集成，只是将模型应用于数据集并估算集成工作流的收益，因此不满足软件制品门槛。,0.78,213108
13938,13938_2023_nudging-private-ryan-mobile-microgiving-under-economic-incentives-and-audience-effects.md,Nudging Private Ryan: Mobile Microgiving under Economic Incentives and Audience Effects,Dongwon Lee; Anandasivam Gopal; Dokyun Lee; Dongwook Shin,2023,MIS Quarterly,10.25300/misq/2022/16643,False,independent_agreement_exclude,False,False,fully_objective_direct,theory_or_explanation_primary,implemented_software_artifact,THEORY_OR_EXPLANATION_PRIMARY,文章以真实捐赠决策和捐赠金额作为结果变量，指标完全客观且来自应用日志；并实际在移动应用中添加了捐赠功能、推送通知和社交信息流组件进行现场实验，满足软件制品实例化要求。然而，文章的核心贡献是检验行为理论（移动环境下激励类型、受众效应和数字助推对捐赠的影响）并提供分析模型，而非通过设计或改进软件制品来提升这些客观指标。软件修改仅为实验提供环境，属于理论驱动的研究载体，类似被排除的电子处方制度化研究。因此，软件制品虽有明确实现，但客观指标提升不是文章的核心设计目标，不符合资格。,0.95,182676
